input_file,method,experiment,density1,weight1,density2,weight2,lambda,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_ties_qwc15_m_h.out,TIES,1,0.5,0.1,0.5,0.9,1.3,0.646,0.585,0.757,0.653,0.0109,0.2218,0.1741,0.1601,0.0113,0.2211,0.1742,0.1579,0.0117,0.2203,0.1746,0.1572
m_ties_qwc15_m_h.out,TIES,2,0.5,0.2,0.5,0.8,1.3,0.659,0.591,0.738,0.630,0.0423,0.3202,0.3114,0.3099,0.0432,0.3177,0.3114,0.3059,0.0431,0.3168,0.3107,0.3053
m_ties_qwc15_m_h.out,TIES,3,0.5,0.3,0.5,0.7,1.3,0.652,0.591,0.754,0.635,0.0365,0.3048,0.2894,0.2913,0.0372,0.3024,0.2894,0.2883,0.0371,0.3016,0.2888,0.2876
m_ties_qwc15_m_h.out,TIES,4,0.5,0.4,0.5,0.6,1.3,0.646,0.598,0.751,0.635,0.0193,0.2474,0.2119,0.2068,0.0199,0.2461,0.2120,0.2049,0.0201,0.2453,0.2118,0.2040
m_ties_qwc15_m_h.out,TIES,5,0.5,0.5,0.5,0.5,1.3,0.646,0.585,0.757,0.653,0.0109,0.2218,0.1741,0.1601,0.0113,0.2211,0.1741,0.1579,0.0117,0.2203,0.1746,0.1572
m_ties_qwc15_m_h.out,TIES,6,0.5,0.6,0.5,0.4,1.3,0.671,0.622,0.762,0.667,0.0094,0.2143,0.1642,0.1495,0.0098,0.2137,0.1643,0.1475,0.0102,0.2133,0.1655,0.1470
m_ties_qwc15_m_h.out,TIES,7,0.5,0.7,0.5,0.3,1.3,0.677,0.634,0.767,0.667,0.0080,0.2095,0.1578,0.1430,0.0082,0.2090,0.1579,0.1415,0.0085,0.2084,0.1592,0.1410
m_ties_qwc15_m_h.out,TIES,8,0.5,0.8,0.5,0.2,1.3,0.683,0.640,0.759,0.664,0.0078,0.2095,0.1563,0.1426,0.0080,0.2089,0.1564,0.1412,0.0083,0.2083,0.1582,0.1406
m_ties_qwc15_m_h.out,TIES,9,0.5,0.9,0.5,0.1,1.3,0.683,0.640,0.762,0.667,0.0077,0.2092,0.1552,0.1427,0.0079,0.2088,0.1552,0.1415,0.0082,0.2080,0.1580,0.1408
