input_file,method,experiment,weight1,weight2,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_linear_qwc15_m_h.out,LINEAR,1,0.1,0.9,0.707,0.665,0.757,0.659,0.0293,0.2557,0.2637,0.2401,0.0303,0.2520,0.2637,0.2294,0.0302,0.2509,0.2631,0.2284
m_linear_qwc15_m_h.out,LINEAR,2,0.2,0.8,0.622,0.573,0.722,0.632,0.0460,0.3200,0.3202,0.3111,0.0471,0.3170,0.3203,0.3046,0.0470,0.3161,0.3195,0.3038
m_linear_qwc15_m_h.out,LINEAR,3,0.3,0.7,0.671,0.598,0.749,0.651,0.0423,0.3092,0.3086,0.2971,0.0434,0.3060,0.3086,0.2912,0.0433,0.3051,0.3079,0.2904
m_linear_qwc15_m_h.out,LINEAR,4,0.4,0.6,0.671,0.616,0.762,0.664,0.0372,0.2870,0.2882,0.2733,0.0383,0.2836,0.2883,0.2662,0.0382,0.2826,0.2876,0.2653
m_linear_qwc15_m_h.out,LINEAR,5,0.5,0.5,0.707,0.665,0.757,0.659,0.0293,0.2557,0.2636,0.2401,0.0303,0.2520,0.2636,0.2294,0.0302,0.2509,0.2630,0.2284
m_linear_qwc15_m_h.out,LINEAR,6,0.6,0.4,0.738,0.652,0.770,0.669,0.0215,0.2365,0.2301,0.2083,0.0223,0.2336,0.2301,0.1993,0.0221,0.2314,0.2289,0.1974
m_linear_qwc15_m_h.out,LINEAR,7,0.7,0.3,0.720,0.671,0.775,0.667,0.0116,0.2083,0.1862,0.1535,0.0120,0.2068,0.1863,0.1488,0.0120,0.2047,0.1868,0.1473
m_linear_qwc15_m_h.out,LINEAR,8,0.8,0.2,0.713,0.677,0.770,0.667,0.0054,0.2000,0.1542,0.1217,0.0056,0.1998,0.1542,0.1223,0.0058,0.1985,0.1562,0.1216
m_linear_qwc15_m_h.out,LINEAR,9,0.9,0.1,0.726,0.689,0.772,0.664,0.0024,0.1934,0.1364,0.1075,0.0025,0.1935,0.1365,0.1091,0.0026,0.1933,0.1379,0.1092
