input_file,method,experiment,density1,weight1,density2,weight2,lambda,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_ties_dsc13_m_h.out,TIES,1,0.5,0.1,0.5,0.9,1.3,0.628,0.591,0.661,0.574,0.0371,0.2897,0.2523,0.2869,0.0372,0.2877,0.2524,0.2844,0.0372,0.2871,0.2521,0.2838
m_ties_dsc13_m_h.out,TIES,2,0.5,0.2,0.5,0.8,1.3,0.591,0.549,0.624,0.542,0.0444,0.3265,0.3066,0.3197,0.0450,0.3241,0.3068,0.3147,0.0450,0.3234,0.3063,0.3141
m_ties_dsc13_m_h.out,TIES,3,0.5,0.3,0.5,0.7,1.3,0.610,0.561,0.622,0.545,0.0445,0.3236,0.3005,0.3177,0.0452,0.3213,0.3007,0.3129,0.0451,0.3206,0.3002,0.3123
m_ties_dsc13_m_h.out,TIES,4,0.5,0.4,0.5,0.6,1.3,0.640,0.604,0.659,0.566,0.0408,0.3118,0.2819,0.3071,0.0413,0.3096,0.2821,0.3032,0.0413,0.3090,0.2817,0.3026
m_ties_dsc13_m_h.out,TIES,5,0.5,0.5,0.5,0.5,1.3,0.628,0.591,0.661,0.574,0.0371,0.2897,0.2524,0.2869,0.0372,0.2877,0.2525,0.2844,0.0372,0.2871,0.2521,0.2838
m_ties_dsc13_m_h.out,TIES,6,0.5,0.6,0.5,0.4,1.3,0.652,0.604,0.661,0.566,0.0317,0.2654,0.2218,0.2633,0.0318,0.2638,0.2219,0.2628,0.0317,0.2634,0.2217,0.2624
m_ties_dsc13_m_h.out,TIES,7,0.5,0.7,0.5,0.3,1.3,0.659,0.610,0.667,0.571,0.0295,0.2611,0.2146,0.2575,0.0295,0.2595,0.2147,0.2582,0.0295,0.2592,0.2146,0.2579
m_ties_dsc13_m_h.out,TIES,8,0.5,0.8,0.5,0.2,1.3,0.671,0.628,0.651,0.569,0.0288,0.2605,0.2134,0.2564,0.0289,0.2589,0.2135,0.2573,0.0289,0.2586,0.2134,0.2570
m_ties_dsc13_m_h.out,TIES,9,0.5,0.9,0.5,0.1,1.3,0.659,0.616,0.667,0.579,0.0291,0.2592,0.2122,0.2554,0.0291,0.2576,0.2124,0.2565,0.0291,0.2573,0.2122,0.2562
