input_file,method,experiment,density1,weight1,density2,weight2,epsilon,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_della_qwc15_m_h.out,DELLA,1,0.5,0.1,0.5,0.9,0.1,0.591,0.549,0.733,0.638,0.0055,0.2026,0.1456,0.1307,0.0056,0.2023,0.1456,0.1302,0.0057,0.2013,0.1456,0.1293
m_della_qwc15_m_h.out,DELLA,2,0.5,0.2,0.5,0.8,0.1,0.561,0.518,0.714,0.611,0.0290,0.2860,0.2683,0.2672,0.0297,0.2843,0.2684,0.2650,0.0297,0.2835,0.2677,0.2644
m_della_qwc15_m_h.out,DELLA,3,0.5,0.3,0.5,0.7,0.1,0.573,0.524,0.712,0.622,0.0179,0.2432,0.2040,0.2035,0.0183,0.2422,0.2041,0.2033,0.0184,0.2412,0.2035,0.2024
m_della_qwc15_m_h.out,DELLA,4,0.5,0.4,0.5,0.6,0.1,0.573,0.518,0.722,0.622,0.0070,0.2069,0.1526,0.1375,0.0071,0.2066,0.1527,0.1373,0.0071,0.2055,0.1521,0.1363
m_della_qwc15_m_h.out,DELLA,5,0.5,0.5,0.5,0.5,0.1,0.634,0.598,0.722,0.622,0.0051,0.2004,0.1423,0.1287,0.0052,0.2002,0.1423,0.1284,0.0053,0.1987,0.1424,0.1270
m_della_qwc15_m_h.out,DELLA,6,0.5,0.6,0.5,0.4,0.1,0.646,0.598,0.746,0.643,0.0055,0.2014,0.1426,0.1314,0.0056,0.2011,0.1426,0.1308,0.0057,0.2002,0.1429,0.1299
m_della_qwc15_m_h.out,DELLA,7,0.5,0.7,0.5,0.3,0.1,0.671,0.628,0.746,0.632,0.0043,0.1971,0.1379,0.1230,0.0044,0.1969,0.1379,0.1231,0.0045,0.1965,0.1395,0.1225
m_della_qwc15_m_h.out,DELLA,8,0.5,0.8,0.5,0.2,0.1,0.646,0.604,0.746,0.638,0.0049,0.1979,0.1382,0.1255,0.0050,0.1977,0.1382,0.1255,0.0053,0.1975,0.1415,0.1253
m_della_qwc15_m_h.out,DELLA,9,0.5,0.9,0.5,0.1,0.1,0.665,0.622,0.749,0.653,0.0041,0.1955,0.1353,0.1203,0.0041,0.1954,0.1353,0.1206,0.0044,0.1951,0.1377,0.1203
