input_file,method,experiment,density1,weight1,density2,weight2,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_dare_dsc13_m_h.out,DARE,1,0.5,0.1,0.5,0.9,0.665,0.604,0.651,0.553,0.0085,0.2331,0.1591,0.2093,0.0089,0.2337,0.1591,0.2096,0.0137,0.2640,0.2038,0.2398
m_dare_dsc13_m_h.out,DARE,2,0.5,0.2,0.5,0.8,0.585,0.530,0.632,0.556,0.0461,0.3322,0.3205,0.3250,0.0469,0.3297,0.3207,0.3189,0.0468,0.3289,0.3201,0.3183
m_dare_dsc13_m_h.out,DARE,3,0.5,0.3,0.5,0.7,0.616,0.561,0.640,0.553,0.0450,0.3320,0.3100,0.3252,0.0454,0.3296,0.3102,0.3200,0.0453,0.3289,0.3096,0.3194
m_dare_dsc13_m_h.out,DARE,4,0.5,0.4,0.5,0.6,0.646,0.591,0.653,0.550,0.0442,0.3244,0.2964,0.3187,0.0445,0.3220,0.2965,0.3140,0.0444,0.3214,0.2961,0.3135
m_dare_dsc13_m_h.out,DARE,5,0.5,0.5,0.5,0.5,0.677,0.610,0.656,0.569,0.0397,0.3069,0.2710,0.3029,0.0398,0.3048,0.2711,0.2996,0.0398,0.3047,0.2710,0.2995
m_dare_dsc13_m_h.out,DARE,6,0.5,0.6,0.5,0.4,0.677,0.640,0.656,0.574,0.0324,0.2758,0.2321,0.2743,0.0325,0.2741,0.2322,0.2730,0.0324,0.2738,0.2321,0.2728
m_dare_dsc13_m_h.out,DARE,7,0.5,0.7,0.5,0.3,0.689,0.646,0.651,0.563,0.0284,0.2874,0.2355,0.2807,0.0286,0.2855,0.2356,0.2808,0.0285,0.2851,0.2354,0.2803
m_dare_dsc13_m_h.out,DARE,8,0.5,0.8,0.5,0.2,0.683,0.628,0.646,0.566,0.0117,0.2462,0.1831,0.2020,0.0120,0.2459,0.1832,0.2033,0.0152,0.2624,0.2145,0.2197
m_dare_dsc13_m_h.out,DARE,9,0.5,0.9,0.5,0.1,0.707,0.652,0.640,0.542,0.0077,0.2272,0.1565,0.1837,0.0080,0.2291,0.1565,0.1892,0.0133,0.2645,0.2130,0.2214
