input_file,method,experiment,weight1,weight2,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_linear_dsc13_m_h.out,LINEAR,1,0.1,0.9,0.677,0.610,0.667,0.571,0.0396,0.3073,0.2715,0.3031,0.0397,0.3051,0.2716,0.2998,0.0397,0.3050,0.2716,0.2997
m_linear_dsc13_m_h.out,LINEAR,2,0.2,0.8,0.591,0.537,0.616,0.540,0.0465,0.3329,0.3186,0.3256,0.0473,0.3304,0.3188,0.3197,0.0472,0.3296,0.3181,0.3191
m_linear_dsc13_m_h.out,LINEAR,3,0.3,0.7,0.628,0.561,0.646,0.558,0.0455,0.3333,0.3125,0.3263,0.0460,0.3309,0.3127,0.3208,0.0460,0.3302,0.3122,0.3203
m_linear_dsc13_m_h.out,LINEAR,4,0.4,0.6,0.628,0.573,0.672,0.582,0.0445,0.3247,0.2962,0.3187,0.0447,0.3223,0.2963,0.3141,0.0446,0.3216,0.2959,0.3135
m_linear_dsc13_m_h.out,LINEAR,5,0.5,0.5,0.677,0.610,0.667,0.571,0.0396,0.3073,0.2715,0.3031,0.0397,0.3051,0.2716,0.2998,0.0397,0.3050,0.2716,0.2997
m_linear_dsc13_m_h.out,LINEAR,6,0.6,0.4,0.671,0.616,0.653,0.563,0.0309,0.2639,0.2188,0.2630,0.0310,0.2624,0.2189,0.2627,0.0309,0.2621,0.2188,0.2624
m_linear_dsc13_m_h.out,LINEAR,7,0.7,0.3,0.671,0.622,0.651,0.571,0.0288,0.2922,0.2402,0.2853,0.0290,0.2902,0.2403,0.2849,0.0290,0.2899,0.2402,0.2846
m_linear_dsc13_m_h.out,LINEAR,8,0.8,0.2,0.665,0.622,0.648,0.569,0.0129,0.2511,0.1899,0.2084,0.0133,0.2506,0.1900,0.2096,0.0160,0.2646,0.2167,0.2238
m_linear_dsc13_m_h.out,LINEAR,9,0.9,0.1,0.695,0.652,0.648,0.556,0.0072,0.2248,0.1537,0.1786,0.0075,0.2265,0.1537,0.1834,0.0124,0.2589,0.2057,0.2131
