input_file,method,experiment,density1,weight1,density2,weight2,epsilon,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_della_dsc13_m_h.out,DELLA,1,0.5,0.1,0.5,0.9,0.1,0.573,0.537,0.603,0.513,0.0320,0.2612,0.2258,0.2592,0.0322,0.2596,0.2260,0.2576,0.0322,0.2590,0.2257,0.2570
m_della_dsc13_m_h.out,DELLA,2,0.5,0.2,0.5,0.8,0.1,0.555,0.518,0.526,0.466,0.0408,0.3042,0.2807,0.2980,0.0412,0.3021,0.2809,0.2939,0.0412,0.3015,0.2806,0.2933
m_della_dsc13_m_h.out,DELLA,3,0.5,0.3,0.5,0.7,0.1,0.555,0.506,0.563,0.489,0.0398,0.2999,0.2741,0.2947,0.0403,0.2978,0.2743,0.2909,0.0403,0.2972,0.2740,0.2903
m_della_dsc13_m_h.out,DELLA,4,0.5,0.4,0.5,0.6,0.1,0.567,0.518,0.598,0.513,0.0374,0.2839,0.2535,0.2805,0.0379,0.2820,0.2538,0.2777,0.0379,0.2815,0.2534,0.2772
m_della_dsc13_m_h.out,DELLA,5,0.5,0.5,0.5,0.5,0.1,0.616,0.567,0.606,0.519,0.0323,0.2616,0.2261,0.2595,0.0325,0.2599,0.2263,0.2578,0.0324,0.2593,0.2260,0.2573
m_della_dsc13_m_h.out,DELLA,6,0.5,0.6,0.5,0.4,0.1,0.622,0.579,0.640,0.542,0.0302,0.2470,0.2078,0.2445,0.0301,0.2455,0.2079,0.2445,0.0301,0.2449,0.2075,0.2439
m_della_dsc13_m_h.out,DELLA,7,0.5,0.7,0.5,0.3,0.1,0.628,0.579,0.638,0.545,0.0294,0.2470,0.2037,0.2423,0.0294,0.2453,0.2038,0.2432,0.0294,0.2446,0.2034,0.2425
m_della_dsc13_m_h.out,DELLA,8,0.5,0.8,0.5,0.2,0.1,0.640,0.604,0.646,0.563,0.0282,0.2424,0.1976,0.2360,0.0282,0.2408,0.1977,0.2377,0.0281,0.2401,0.1973,0.2370
m_della_dsc13_m_h.out,DELLA,9,0.5,0.9,0.5,0.1,0.1,0.665,0.628,0.664,0.561,0.0282,0.2495,0.2034,0.2423,0.0282,0.2478,0.2035,0.2439,0.0282,0.2471,0.2031,0.2432
