input_file,method,experiment,density1,weight1,density2,weight2,lambda,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_ties_qwc7_m_h.out,TIES,1,0.5,0.1,0.5,0.9,1.3,0.921,0.866,0.870,0.728,0.0487,0.3100,0.3191,0.2988,0.0501,0.3067,0.3192,0.2879,0.0500,0.3066,0.3191,0.2879
m_ties_qwc7_m_h.out,TIES,2,0.5,0.2,0.5,0.8,1.3,0.823,0.787,0.847,0.720,0.0599,0.3382,0.3464,0.3317,0.0609,0.3360,0.3465,0.3258,0.0607,0.3349,0.3455,0.3249
m_ties_qwc7_m_h.out,TIES,3,0.5,0.3,0.5,0.7,1.3,0.866,0.811,0.862,0.728,0.0583,0.3357,0.3428,0.3281,0.0593,0.3333,0.3428,0.3215,0.0591,0.3324,0.3419,0.3207
m_ties_qwc7_m_h.out,TIES,4,0.5,0.4,0.5,0.6,1.3,0.921,0.860,0.873,0.735,0.0521,0.3158,0.3267,0.3054,0.0533,0.3127,0.3269,0.2953,0.0533,0.3124,0.3265,0.2951
m_ties_qwc7_m_h.out,TIES,5,0.5,0.5,0.5,0.5,1.3,0.921,0.866,0.870,0.728,0.0487,0.3100,0.3191,0.2989,0.0501,0.3067,0.3193,0.2879,0.0500,0.3066,0.3192,0.2879
m_ties_qwc7_m_h.out,TIES,6,0.5,0.6,0.5,0.4,1.3,0.921,0.866,0.862,0.725,0.0475,0.3120,0.3173,0.3008,0.0487,0.3088,0.3175,0.2902,0.0487,0.3087,0.3174,0.2902
m_ties_qwc7_m_h.out,TIES,7,0.5,0.7,0.5,0.3,1.3,0.921,0.866,0.862,0.728,0.0486,0.3152,0.3199,0.3042,0.0498,0.3120,0.3201,0.2940,0.0498,0.3120,0.3200,0.2940
m_ties_qwc7_m_h.out,TIES,8,0.5,0.8,0.5,0.2,1.3,0.927,0.866,0.860,0.733,0.0508,0.3211,0.3250,0.3110,0.0518,0.3181,0.3251,0.3017,0.0518,0.3180,0.3251,0.3016
m_ties_qwc7_m_h.out,TIES,9,0.5,0.9,0.5,0.1,1.3,0.921,0.860,0.860,0.730,0.0526,0.3263,0.3283,0.3169,0.0536,0.3234,0.3285,0.3084,0.0536,0.3232,0.3282,0.3082
