input_file,method,experiment,density1,weight1,density2,weight2,lambda,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_ties_dsc7_m_h.out,TIES,1,0.5,0.1,0.5,0.9,1.3,0.726,0.695,0.788,0.680,0.0427,0.3180,0.3036,0.3085,0.0430,0.3150,0.3037,0.3008,0.0429,0.3141,0.3031,0.3000
m_ties_dsc7_m_h.out,TIES,2,0.5,0.2,0.5,0.8,1.3,0.738,0.677,0.770,0.667,0.0518,0.3379,0.3223,0.3305,0.0520,0.3355,0.3224,0.3253,0.0519,0.3346,0.3218,0.3245
m_ties_dsc7_m_h.out,TIES,3,0.5,0.3,0.5,0.7,1.3,0.732,0.689,0.786,0.688,0.0508,0.3357,0.3177,0.3278,0.0509,0.3332,0.3178,0.3228,0.0507,0.3324,0.3172,0.3220
m_ties_dsc7_m_h.out,TIES,4,0.5,0.4,0.5,0.6,1.3,0.762,0.713,0.786,0.683,0.0475,0.3306,0.3132,0.3221,0.0475,0.3279,0.3132,0.3163,0.0474,0.3271,0.3127,0.3156
m_ties_dsc7_m_h.out,TIES,5,0.5,0.5,0.5,0.5,1.3,0.726,0.695,0.788,0.680,0.0427,0.3182,0.3037,0.3086,0.0431,0.3151,0.3038,0.3009,0.0429,0.3142,0.3032,0.3001
m_ties_dsc7_m_h.out,TIES,6,0.5,0.6,0.5,0.4,1.3,0.756,0.732,0.796,0.690,0.0370,0.3025,0.2899,0.2901,0.0381,0.2997,0.2900,0.2820,0.0378,0.2984,0.2893,0.2808
m_ties_dsc7_m_h.out,TIES,7,0.5,0.7,0.5,0.3,1.3,0.774,0.738,0.788,0.683,0.0369,0.3019,0.2899,0.2894,0.0380,0.2993,0.2900,0.2814,0.0378,0.2977,0.2892,0.2802
m_ties_dsc7_m_h.out,TIES,8,0.5,0.8,0.5,0.2,1.3,0.756,0.720,0.791,0.685,0.0386,0.3085,0.2932,0.2968,0.0394,0.3057,0.2934,0.2893,0.0393,0.3043,0.2925,0.2880
m_ties_dsc7_m_h.out,TIES,9,0.5,0.9,0.5,0.1,1.3,0.750,0.720,0.796,0.690,0.0393,0.3128,0.2955,0.3020,0.0398,0.3100,0.2956,0.2947,0.0397,0.3088,0.2950,0.2937
