input_file,method,experiment,weight1,weight2,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_linear_qwc7_m_h.out,LINEAR,1,0.1,0.9,0.866,0.817,0.854,0.735,0.0479,0.2971,0.3171,0.2860,0.0496,0.2936,0.3172,0.2735,0.0495,0.2931,0.3167,0.2731
m_linear_qwc7_m_h.out,LINEAR,2,0.2,0.8,0.811,0.762,0.815,0.704,0.0602,0.3366,0.3452,0.3307,0.0613,0.3339,0.3452,0.3231,0.0610,0.3328,0.3442,0.3222
m_linear_qwc7_m_h.out,LINEAR,3,0.3,0.7,0.835,0.787,0.841,0.712,0.0590,0.3326,0.3419,0.3259,0.0601,0.3298,0.3419,0.3175,0.0598,0.3287,0.3409,0.3166
m_linear_qwc7_m_h.out,LINEAR,4,0.4,0.6,0.866,0.811,0.839,0.709,0.0545,0.3201,0.3326,0.3114,0.0558,0.3170,0.3326,0.3015,0.0556,0.3161,0.3318,0.3007
m_linear_qwc7_m_h.out,LINEAR,5,0.5,0.5,0.866,0.817,0.854,0.735,0.0479,0.2971,0.3171,0.2860,0.0496,0.2936,0.3171,0.2735,0.0495,0.2931,0.3166,0.2731
m_linear_qwc7_m_h.out,LINEAR,6,0.6,0.4,0.878,0.817,0.849,0.720,0.0401,0.2799,0.3024,0.2668,0.0414,0.2759,0.3025,0.2525,0.0413,0.2758,0.3024,0.2524
m_linear_qwc7_m_h.out,LINEAR,7,0.7,0.3,0.896,0.848,0.857,0.735,0.0332,0.2821,0.2909,0.2665,0.0343,0.2784,0.2910,0.2530,0.0343,0.2784,0.2910,0.2530
m_linear_qwc7_m_h.out,LINEAR,8,0.8,0.2,0.909,0.860,0.873,0.738,0.0282,0.3120,0.2869,0.2999,0.0321,0.3139,0.2870,0.2978,0.0321,0.3139,0.2871,0.2979
m_linear_qwc7_m_h.out,LINEAR,9,0.9,0.1,0.909,0.848,0.868,0.733,0.0249,0.3271,0.2821,0.3136,0.0316,0.3351,0.2822,0.3290,0.0316,0.3351,0.2823,0.3291
