input_file,method,experiment,weight1,weight2,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_linear_dsc7_m_h.out,LINEAR,1,0.1,0.9,0.774,0.732,0.783,0.680,0.0440,0.3148,0.3149,0.3052,0.0445,0.3115,0.3150,0.2959,0.0444,0.3108,0.3145,0.2953
m_linear_dsc7_m_h.out,LINEAR,2,0.2,0.8,0.726,0.652,0.770,0.664,0.0524,0.3373,0.3334,0.3305,0.0529,0.3347,0.3334,0.3240,0.0527,0.3337,0.3326,0.3231
m_linear_dsc7_m_h.out,LINEAR,3,0.3,0.7,0.726,0.652,0.772,0.677,0.0526,0.3377,0.3310,0.3307,0.0530,0.3350,0.3310,0.3242,0.0529,0.3341,0.3303,0.3235
m_linear_dsc7_m_h.out,LINEAR,4,0.4,0.6,0.738,0.689,0.775,0.675,0.0508,0.3354,0.3275,0.3275,0.0512,0.3326,0.3276,0.3209,0.0511,0.3318,0.3270,0.3202
m_linear_dsc7_m_h.out,LINEAR,5,0.5,0.5,0.774,0.732,0.783,0.680,0.0440,0.3149,0.3149,0.3052,0.0445,0.3116,0.3150,0.2960,0.0444,0.3108,0.3145,0.2954
m_linear_dsc7_m_h.out,LINEAR,6,0.6,0.4,0.756,0.720,0.799,0.701,0.0340,0.2789,0.2900,0.2661,0.0351,0.2748,0.2900,0.2530,0.0350,0.2743,0.2896,0.2526
m_linear_dsc7_m_h.out,LINEAR,7,0.7,0.3,0.756,0.713,0.796,0.690,0.0253,0.2543,0.2697,0.2391,0.0279,0.2521,0.2698,0.2275,0.0277,0.2517,0.2697,0.2272
m_linear_dsc7_m_h.out,LINEAR,8,0.8,0.2,0.787,0.732,0.770,0.672,0.0231,0.2824,0.2784,0.2720,0.0301,0.2931,0.2785,0.2793,0.0310,0.2965,0.2838,0.2843
m_linear_dsc7_m_h.out,LINEAR,9,0.9,0.1,0.787,0.738,0.775,0.675,0.0185,0.2839,0.2411,0.2699,0.0239,0.2919,0.2411,0.2789,0.0282,0.3078,0.2623,0.2985
