input_file,method,experiment,density1,weight1,density2,weight2,epsilon,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_della_dsc7_m_h.out,DELLA,1,0.5,0.1,0.5,0.9,0.1,0.750,0.720,0.791,0.696,0.0460,0.3254,0.3004,0.3163,0.0461,0.3230,0.3005,0.3118,0.0460,0.3223,0.3001,0.3110
m_della_dsc7_m_h.out,DELLA,2,0.5,0.2,0.5,0.8,0.1,0.720,0.671,0.778,0.669,0.0515,0.3328,0.3116,0.3247,0.0515,0.3305,0.3117,0.3202,0.0514,0.3298,0.3111,0.3195
m_della_dsc7_m_h.out,DELLA,3,0.5,0.3,0.5,0.7,0.1,0.732,0.677,0.772,0.669,0.0506,0.3310,0.3082,0.3231,0.0506,0.3287,0.3083,0.3185,0.0505,0.3279,0.3077,0.3178
m_della_dsc7_m_h.out,DELLA,4,0.5,0.4,0.5,0.6,0.1,0.738,0.701,0.772,0.672,0.0494,0.3289,0.3045,0.3212,0.0495,0.3267,0.3046,0.3168,0.0494,0.3258,0.3040,0.3160
m_della_dsc7_m_h.out,DELLA,5,0.5,0.5,0.5,0.5,0.1,0.744,0.707,0.786,0.693,0.0457,0.3258,0.3004,0.3168,0.0458,0.3234,0.3005,0.3124,0.0457,0.3226,0.3001,0.3116
m_della_dsc7_m_h.out,DELLA,6,0.5,0.6,0.5,0.4,0.1,0.756,0.720,0.788,0.690,0.0458,0.3265,0.3013,0.3177,0.0459,0.3240,0.3014,0.3132,0.0458,0.3233,0.3009,0.3125
m_della_dsc7_m_h.out,DELLA,7,0.5,0.7,0.5,0.3,0.1,0.744,0.713,0.788,0.685,0.0454,0.3265,0.3012,0.3175,0.0455,0.3241,0.3013,0.3128,0.0455,0.3233,0.3008,0.3121
m_della_dsc7_m_h.out,DELLA,8,0.5,0.8,0.5,0.2,0.1,0.732,0.701,0.788,0.685,0.0458,0.3269,0.3012,0.3178,0.0459,0.3245,0.3013,0.3131,0.0459,0.3239,0.3008,0.3125
m_della_dsc7_m_h.out,DELLA,9,0.5,0.9,0.5,0.1,0.1,0.732,0.707,0.783,0.685,0.0454,0.3271,0.3025,0.3175,0.0455,0.3246,0.3026,0.3129,0.0454,0.3240,0.3022,0.3122
